teams_ordered,champion,champ_points,champ_margin,year
"['Bayern München', 'Bayer Leverkusen', 'Hamburger SV', 'TSV 1860 München', '1. FC Kaiserslautern', 'Hertha BSC', 'VfL Wolfsburg', 'VfB Stuttgart', 'Werder Bremen', 'SpVgg Unterhaching', 'Borussia Dortmund', 'SC Freiburg', 'FC Schalke 04', 'Eintracht Frankfurt', 'Hansa Rostock', 'SSV Ulm 1846', 'Arminia Bielefeld', 'MSV Duisburg']",Bayern München,73,0,1999-2000
"['Bayern München', 'FC Schalke 04', 'Borussia Dortmund', 'Bayer Leverkusen', 'Hertha BSC', 'SC Freiburg', 'Werder Bremen', '1. FC Kaiserslautern', 'VfL Wolfsburg', '1. FC Köln', 'TSV 1860 München', 'Hansa Rostock', 'Hamburger SV', 'Energie Cottbus', 'VfB Stuttgart', 'SpVgg Unterhaching', 'Eintracht Frankfurt', 'VfL Bochum']",Bayern München,63,1,2000-2001
"['Borussia Dortmund', 'Bayer Leverkusen', 'Bayern München', 'Hertha BSC', 'FC Schalke 04', 'Werder Bremen', '1. FC Kaiserslautern', 'VfB Stuttgart', 'TSV 1860 München', 'VfL Wolfsburg', 'Hamburger SV', 'Bor. Mönchengladbach', 'Energie Cottbus', 'Hansa Rostock', '1. FC Nürnberg', 'SC Freiburg', '1. FC Köln', 'FC St. Pauli']",Borussia Dortmund,70,1,2001-2002
"['Bayern München', 'VfB Stuttgart', 'Borussia Dortmund', 'Hamburger SV', 'Hertha BSC', 'Werder Bremen', 'FC Schalke 04', 'VfL Wolfsburg', 'VfL Bochum', 'TSV 1860 München', 'Hannover 96', 'Bor. Mönchengladbach', 'Hansa Rostock', '1. FC Kaiserslautern', 'Bayer Leverkusen', 'Arminia Bielefeld', '1. FC Nürnberg', 'Energie Cottbus']",Bayern München,75,16,2002-2003
"['Werder Bremen', 'Bayern München', 'Bayer Leverkusen', 'VfB Stuttgart', 'VfL Bochum', 'Borussia Dortmund', 'FC Schalke 04', 'Hamburger SV', 'Hansa Rostock', 'VfL Wolfsburg', 'Bor. Mönchengladbach', 'Hertha BSC', 'SC Freiburg', 'Hannover 96', '1. FC Kaiserslautern', 'Eintracht Frankfurt', 'TSV 1860 München', '1. FC Köln']",Werder Bremen,74,6,2003-2004
"['Bayern München', 'FC Schalke 04', 'Werder Bremen', 'Hertha BSC', 'VfB Stuttgart', 'Bayer Leverkusen', 'Borussia Dortmund', 'Hamburger SV', 'VfL Wolfsburg', 'Hannover 96', '1. FSV Mainz 05', '1. FC Kaiserslautern', 'Arminia Bielefeld', '1. FC Nürnberg', 'Bor. Mönchengladbach', 'VfL Bochum', 'Hansa Rostock', 'SC Freiburg']",Bayern München,77,14,2004-2005
"['Bayern München', 'Werder Bremen', 'Hamburger SV', 'FC Schalke 04', 'Bayer Leverkusen', 'Hertha BSC', 'Borussia Dortmund', '1. FC Nürnberg', 'VfB Stuttgart', 'Bor. Mönchengladbach', '1. FSV Mainz 05', 'Hannover 96', 'Arminia Bielefeld', 'Eintracht Frankfurt', 'VfL Wolfsburg', '1. FC Kaiserslautern', '1. FC Köln', 'MSV Duisburg']",Bayern München,75,5,2005-2006
"['VfB Stuttgart', 'FC Schalke 04', 'Werder Bremen', 'Bayern München', 'Bayer Leverkusen', '1. FC Nürnberg', 'Hamburger SV', 'VfL Bochum', 'Borussia Dortmund', 'Hertha BSC', 'Hannover 96', 'Arminia Bielefeld', 'Energie Cottbus', 'Eintracht Frankfurt', 'VfL Wolfsburg', '1. FSV Mainz 05', 'Alemannia Aachen', 'Bor. Mönchengladbach']",VfB Stuttgart,70,2,2006-2007
"['Bayern München', 'Werder Bremen', 'FC Schalke 04', 'Hamburger SV', 'VfL Wolfsburg', 'VfB Stuttgart', 'Bayer Leverkusen', 'Hannover 96', 'Eintracht Frankfurt', 'Hertha BSC', 'Karlsruher SC', 'VfL Bochum', 'Borussia Dortmund', 'Energie Cottbus', 'Arminia Bielefeld', '1. FC Nürnberg', 'Hansa Rostock', 'MSV Duisburg']",Bayern München,76,10,2007-2008
"['VfL Wolfsburg', 'Bayern München', 'VfB Stuttgart', 'Hertha BSC', 'Hamburger SV', 'Borussia Dortmund', '1899 Hoffenheim', 'FC Schalke 04', 'Bayer Leverkusen', 'Werder Bremen', 'Hannover 96', '1. FC Köln', 'Eintracht Frankfurt', 'VfL Bochum', 'Bor. Mönchengladbach', 'Energie Cottbus', 'Karlsruher SC', 'Arminia Bielefeld']",VfL Wolfsburg,69,2,2008-2009
"['Bayern München', 'FC Schalke 04', 'Werder Bremen', 'Bayer Leverkusen', 'Borussia Dortmund', 'VfB Stuttgart', 'Hamburger SV', 'VfL Wolfsburg', '1. FSV Mainz 05', 'Eintracht Frankfurt', '1899 Hoffenheim', 'Bor. Mönchengladbach', '1. FC Köln', 'SC Freiburg', 'Hannover 96', '1. FC Nürnberg', 'VfL Bochum', 'Hertha BSC']",Bayern München,70,5,2009-2010
"['Borussia Dortmund', 'Bayer Leverkusen', 'Bayern München', 'Hannover 96', '1. FSV Mainz 05', '1. FC Nürnberg', '1. FC Kaiserslautern', 'Hamburger SV', 'SC Freiburg', '1. FC Köln', '1899 Hoffenheim', 'VfB Stuttgart', 'Werder Bremen', 'FC Schalke 04', 'VfL Wolfsburg', 'Bor. Mönchengladbach', 'Eintracht Frankfurt', 'FC St. Pauli']",Borussia Dortmund,75,7,2010-2011
"['Borussia Dortmund', 'Bayern München', 'FC Schalke 04', 'Bor. Mönchengladbach', 'Bayer Leverkusen', 'VfB Stuttgart', 'Hannover 96', 'VfL Wolfsburg', 'Werder Bremen', '1. FC Nürnberg', '1899 Hoffenheim', 'SC Freiburg', '1. FSV Mainz 05', 'FC Augsburg', 'Hamburger SV', 'Hertha BSC', '1. FC Köln', '1. FC Kaiserslautern']",Borussia Dortmund,81,8,2011-2012
"['Bayern München', 'Borussia Dortmund', 'Bayer Leverkusen', 'FC Schalke 04', 'SC Freiburg', 'Eintracht Frankfurt', 'Hamburger SV', 'Bor. Mönchengladbach', 'Hannover 96', '1. FC Nürnberg', 'VfL Wolfsburg', 'VfB Stuttgart', '1. FSV Mainz 05', 'Werder Bremen', 'FC Augsburg', '1899 Hoffenheim', 'Fortuna Düsseldorf', 'SpVgg Greuther Fürth']",Bayern München,91,25,2012-2013
"['Bayern München', 'Borussia Dortmund', 'FC Schalke 04', 'Bayer Leverkusen', 'VfL Wolfsburg', 'Bor. Mönchengladbach', '1. FSV Mainz 05', 'FC Augsburg', '1899 Hoffenheim', 'Hannover 96', 'Hertha BSC', 'Werder Bremen', 'Eintracht Frankfurt', 'SC Freiburg', 'VfB Stuttgart', 'Hamburger SV', '1. FC Nürnberg', 'Eintracht Braunschweig']",Bayern München,90,19,2013-2014
"['Bayern München', 'VfL Wolfsburg', 'Bor. Mönchengladbach', 'Bayer Leverkusen', 'FC Augsburg', 'FC Schalke 04', 'Borussia Dortmund', '1899 Hoffenheim', 'Eintracht Frankfurt', 'Werder Bremen', '1. FSV Mainz 05', '1. FC Köln', 'Hannover 96', 'VfB Stuttgart', 'Hertha BSC', 'Hamburger SV', 'SC Freiburg', 'SC Paderborn 07']",Bayern München,79,10,2014-2015
"['Bayern München', 'Borussia Dortmund', 'Bayer Leverkusen', 'Bor. Mönchengladbach', 'FC Schalke 04', '1. FSV Mainz 05', 'Hertha BSC', 'VfL Wolfsburg', '1. FC Köln', 'Hamburger SV', 'FC Ingolstadt 04', 'FC Augsburg', 'Werder Bremen', 'SV Darmstadt 98', '1899 Hoffenheim', 'Eintracht Frankfurt', 'VfB Stuttgart', 'Hannover 96']",Bayern München,88,10,2015-2016
"['Bayern München', 'RB Leipzig', 'Borussia Dortmund', '1899 Hoffenheim', '1. FC Köln', 'Hertha BSC', 'SC Freiburg', 'Werder Bremen', 'Bor. Mönchengladbach', 'FC Schalke 04', 'Eintracht Frankfurt', 'Bayer Leverkusen', 'FC Augsburg', 'Hamburger SV', '1. FSV Mainz 05', 'VfL Wolfsburg', 'FC Ingolstadt 04', 'SV Darmstadt 98']",Bayern München,82,15,2016-2017
"['Bayern München', 'FC Schalke 04', '1899 Hoffenheim', 'Borussia Dortmund', 'Bayer Leverkusen', 'RB Leipzig', 'VfB Stuttgart', 'Eintracht Frankfurt', 'Bor. Mönchengladbach', 'Hertha BSC', 'Werder Bremen', 'FC Augsburg', 'Hannover 96', '1. FSV Mainz 05', 'SC Freiburg', 'VfL Wolfsburg', 'Hamburger SV', '1. FC Köln']",Bayern München,84,21,2017-2018
"['Bayern München', 'Borussia Dortmund', 'RB Leipzig', 'Bayer Leverkusen', 'Bor. Mönchengladbach', 'VfL Wolfsburg', 'Eintracht Frankfurt', 'Werder Bremen', '1899 Hoffenheim', 'Fortuna Düsseldorf', 'Hertha BSC', '1. FSV Mainz 05', 'SC Freiburg', 'FC Schalke 04', 'FC Augsburg', 'VfB Stuttgart', 'Hannover 96', '1. FC Nürnberg']",Bayern München,78,2,2018-2019
"['Bayern München', 'Borussia Dortmund', 'RB Leipzig', 'Bor. Mönchengladbach', 'Bayer Leverkusen', '1899 Hoffenheim', 'VfL Wolfsburg', 'SC Freiburg', 'Eintracht Frankfurt', 'Hertha BSC', '1. FC Union Berlin', 'FC Schalke 04', '1. FSV Mainz 05', '1. FC Köln', 'FC Augsburg', 'Werder Bremen', 'Fortuna Düsseldorf', 'SC Paderborn 07']",Bayern München,82,13,2019-2020
"['Bayern München', 'RB Leipzig', 'Borussia Dortmund', 'VfL Wolfsburg', 'Eintracht Frankfurt', 'Bayer Leverkusen', '1. FC Union Berlin', 'Bor. Mönchengladbach', 'VfB Stuttgart', 'SC Freiburg', '1899 Hoffenheim', '1. FSV Mainz 05', 'FC Augsburg', 'Hertha BSC', 'Arminia Bielefeld', '1. FC Köln', 'Werder Bremen', 'FC Schalke 04']",Bayern München,78,13,2020-2021
"['Bayern München', 'Borussia Dortmund', 'Bayer Leverkusen', 'RB Leipzig', '1. FC Union Berlin', 'SC Freiburg', '1. FC Köln', '1. FSV Mainz 05', '1899 Hoffenheim', 'Bor. Mönchengladbach', 'Eintracht Frankfurt', 'VfL Wolfsburg', 'VfL Bochum', 'FC Augsburg', 'VfB Stuttgart', 'Hertha BSC', 'Arminia Bielefeld', 'SpVgg Greuther Fürth']",Bayern München,77,8,2021-2022
"['Bayern München\n(M)', 'Borussia Dortmund', 'RB Leipzig\n(P)', '1. FC Union Berlin', 'SC Freiburg', 'Bayer Leverkusen', 'Eintracht Frankfurt', 'VfL Wolfsburg', '1. FSV Mainz 05', 'Bor. Mönchengladbach', '1. FC Köln', '1899 Hoffenheim', 'Werder Bremen\n(N)', 'VfL Bochum', 'FC Augsburg', 'VfB Stuttgart', 'FC Schalke 04\n(N)', 'Hertha BSC']","Bayern München
(M)",71,0,2022-2023
