teams_ordered,champion,champ_points,champ_margin,year
"['AC Milan', 'Inter', 'Parma AC', 'Juventus', 'Lazio Roma', 'Cagliari Calcio', 'Sampdoria', 'Atalanta', 'Torino FC', 'AS Roma', 'SSC Napoli', 'US Foggia', 'Genoa CFC', 'ACF Fiorentina', 'Udinese Calcio', 'Brescia Calcio', 'Ancona Calcio', 'Pescara Calcio']",AC Milan,50,4,1992-1993
"['AC Milan', 'Juventus', 'Sampdoria', 'Lazio Roma', 'Parma AC', 'SSC Napoli', 'AS Roma', 'Torino FC', 'US Foggia', 'US Cremonese', 'Genoa CFC', 'Cagliari Calcio', 'Inter', 'AC Reggiana', 'Piacenza Calcio', 'Udinese Calcio', 'Atalanta', 'US Lecce']",AC Milan,50,3,1993-1994
"['Juventus', 'Lazio Roma', 'Parma AC', 'AC Milan', 'AS Roma', 'Inter', 'SSC Napoli', 'Sampdoria', 'Cagliari Calcio', 'ACF Fiorentina', 'Torino FC', 'AS Bari', 'US Cremonese', 'Genoa CFC', 'Calcio Padova', 'US Foggia', 'AC Reggiana', 'Brescia Calcio']",Juventus,73,10,1994-1995
"['AC Milan', 'Juventus', 'Lazio Roma', 'ACF Fiorentina', 'AS Roma', 'Parma AC', 'Inter', 'Sampdoria', 'Vicenza Calcio', 'Udinese Calcio', 'Cagliari Calcio', 'SSC Napoli', 'Atalanta', 'Piacenza Calcio', 'AS Bari', 'Torino FC', 'US Cremonese', 'Calcio Padova']",AC Milan,73,8,1995-1996
"['Juventus', 'Parma AC', 'Inter', 'Lazio Roma', 'Udinese Calcio', 'Sampdoria', 'Bologna FC', 'Vicenza Calcio', 'ACF Fiorentina', 'Atalanta', 'AC Milan', 'AS Roma', 'SSC Napoli', 'Cagliari Calcio', 'Piacenza Calcio', 'AC Perugia', 'Hellas Verona', 'AC Reggiana']",Juventus,65,2,1996-1997
"['Juventus', 'Inter', 'Udinese Calcio', 'AS Roma', 'ACF Fiorentina', 'Parma AC', 'Lazio Roma', 'Bologna FC', 'Sampdoria', 'AC Milan', 'AS Bari', 'Empoli FC', 'Piacenza Calcio', 'Vicenza Calcio', 'Brescia Calcio', 'Atalanta', 'US Lecce', 'SSC Napoli']",Juventus,74,5,1997-1998
"['AC Milan', 'Lazio Roma', 'ACF Fiorentina', 'Parma AC', 'AS Roma', 'Juventus', 'Udinese Calcio', 'Inter', 'Bologna FC', 'AS Bari', 'AC Venezia', 'Cagliari Calcio', 'Piacenza Calcio', 'AC Perugia', 'Salernitana Sport', 'Sampdoria', 'Vicenza Calcio', 'Empoli FC']",AC Milan,70,1,1998-1999
"['Lazio Roma', 'Juventus', 'AC Milan', 'Inter', 'Parma AC', 'AS Roma', 'ACF Fiorentina', 'Udinese Calcio', 'Hellas Verona', 'AC Perugia', 'Bologna FC', 'Reggina Calcio', 'US Lecce', 'AS Bari', 'Torino FC', 'AC Venezia', 'Cagliari Calcio', 'Piacenza Calcio']",Lazio Roma,72,1,1999-2000
"['AS Roma', 'Juventus', 'Lazio Roma', 'Parma AC', 'Inter', 'AC Milan', 'Atalanta', 'Brescia Calcio', 'ACF Fiorentina', 'Bologna FC', 'AC Perugia', 'Udinese Calcio', 'US Lecce', 'Reggina Calcio', 'Hellas Verona', 'Vicenza Calcio', 'SSC Napoli', 'AS Bari']",AS Roma,75,2,2000-2001
"['Juventus', 'AS Roma', 'Inter', 'AC Milan', 'Chievo Verona', 'Lazio Roma', 'Bologna FC', 'AC Perugia', 'Atalanta', 'Parma AC', 'Torino FC', 'Piacenza Calcio', 'Brescia Calcio', 'Udinese Calcio', 'Hellas Verona', 'US Lecce', 'ACF Fiorentina', 'AC Venezia']",Juventus,71,1,2001-2002
"['Juventus', 'Inter', 'AC Milan', 'Lazio Roma', 'Parma AC', 'Udinese Calcio', 'Chievo Verona', 'AS Roma', 'Brescia Calcio', 'AC Perugia', 'Bologna FC', 'Empoli FC', 'Atalanta', 'Reggina Calcio', 'Modena FC', 'Piacenza Calcio', 'Calcio Como', 'Torino FC']",Juventus,72,7,2002-2003
"['AC Milan', 'AS Roma', 'Juventus', 'Inter', 'Parma AC', 'Lazio Roma', 'Udinese Calcio', 'Sampdoria', 'Chievo Verona', 'US Lecce', 'Brescia Calcio', 'Bologna FC', 'AC Siena', 'Reggina Calcio', 'AC Perugia', 'Modena FC', 'Empoli FC', 'Ancona Calcio']",AC Milan,82,11,2003-2004
"['Juventus', 'AC Milan', 'Inter', 'Udinese Calcio', 'Sampdoria', 'US Palermo', 'FC Messina', 'AS Roma', 'AS Livorno', 'Lazio Roma', 'US Lecce', 'Cagliari Calcio', 'Reggina Calcio', 'AC Siena', 'Chievo Verona', 'ACF Fiorentina', 'Bologna FC', 'Parma FC', 'Brescia Calcio', 'Atalanta']",Juventus,86,7,2004-2005
"['Juventus', 'Inter', 'AS Roma', 'AC Milan', 'Chievo Verona', 'US Palermo', 'AS Livorno', 'Empoli FC', 'Parma FC', 'ACF Fiorentina', 'Ascoli Calcio', 'Udinese Calcio', 'Sampdoria', 'Reggina Calcio', 'Cagliari Calcio', 'AC Siena', 'Lazio Roma', 'FC Messina', 'US Lecce', 'Treviso FBC']",Juventus,91,15,2005-2006
"['Inter', 'AS Roma', 'Lazio Roma', 'AC Milan', 'US Palermo', 'ACF Fiorentina', 'Empoli FC', 'Atalanta', 'Sampdoria', 'Udinese Calcio', 'AS Livorno', 'Parma FC', 'Calcio Catania', 'Reggina Calcio', 'AC Siena', 'Torino FC', 'Cagliari Calcio', 'Chievo Verona', 'Ascoli Calcio', 'FC Messina']",Inter,97,22,2006-2007
"['Inter', 'AS Roma', 'Juventus', 'ACF Fiorentina', 'AC Milan', 'Sampdoria', 'Udinese Calcio', 'SSC Napoli', 'Atalanta', 'Genoa CFC', 'US Palermo', 'Lazio Roma', 'AC Siena', 'Cagliari Calcio', 'Torino FC', 'Reggina Calcio', 'Calcio Catania', 'Empoli FC', 'Parma FC', 'AS Livorno']",Inter,85,3,2007-2008
"['Inter', 'Juventus', 'AC Milan', 'ACF Fiorentina', 'Genoa CFC', 'AS Roma', 'Udinese Calcio', 'US Palermo', 'Cagliari Calcio', 'Lazio Roma', 'Atalanta', 'SSC Napoli', 'Sampdoria', 'AC Siena', 'Calcio Catania', 'Chievo Verona', 'Bologna FC', 'Torino FC', 'Reggina Calcio', 'US Lecce']",Inter,84,10,2008-2009
"['Inter', 'AS Roma', 'AC Milan', 'Sampdoria', 'US Palermo', 'SSC Napoli', 'Juventus', 'Parma FC', 'Genoa CFC', 'AS Bari', 'ACF Fiorentina', 'Lazio Roma', 'Calcio Catania', 'Chievo Verona', 'Udinese Calcio', 'Cagliari Calcio', 'Bologna FC', 'Atalanta', 'AC Siena', 'AS Livorno']",Inter,82,2,2009-2010
"['AC Milan', 'Inter', 'SSC Napoli', 'Udinese Calcio', 'Lazio Roma', 'AS Roma', 'Juventus', 'US Palermo', 'ACF Fiorentina', 'Genoa CFC', 'Chievo Verona', 'Parma FC', 'Calcio Catania', 'Cagliari Calcio', 'AC Cesena', 'Bologna FC', 'US Lecce', 'Sampdoria', 'Brescia Calcio', 'AS Bari']",AC Milan,82,6,2010-2011
"['Juventus', 'AC Milan', 'Udinese Calcio', 'Lazio Roma', 'SSC Napoli', 'Inter', 'AS Roma', 'Parma FC', 'Bologna FC', 'Chievo Verona', 'Calcio Catania', 'Atalanta', 'ACF Fiorentina', 'AC Siena', 'Cagliari Calcio', 'US Palermo', 'Genoa CFC', 'US Lecce', 'Novara Calcio', 'AC Cesena']",Juventus,84,4,2011-2012
"['Juventus', 'SSC Napoli', 'AC Milan', 'ACF Fiorentina', 'Udinese Calcio', 'AS Roma', 'Lazio Roma', 'Calcio Catania', 'Inter', 'Parma FC', 'Cagliari Calcio', 'Chievo Verona', 'Bologna FC', 'Sampdoria', 'Atalanta', 'Torino FC', 'Genoa CFC', 'US Palermo', 'AC Siena', 'Delfino Pescara']",Juventus,87,9,2012-2013
"['Juventus', 'AS Roma', 'SSC Napoli', 'ACF Fiorentina', 'Inter', 'Parma FC', 'Torino FC', 'AC Milan', 'Lazio Roma', 'Hellas Verona', 'Atalanta', 'Sampdoria', 'Udinese Calcio', 'Genoa CFC', 'Cagliari Calcio', 'Chievo Verona', 'Sassuolo Calcio', 'Calcio Catania', 'Bologna FC', 'AS Livorno']",Juventus,102,17,2013-2014
"['Juventus', 'AS Roma', 'Lazio Roma', 'ACF Fiorentina', 'SSC Napoli', 'Genoa CFC', 'Sampdoria', 'Inter', 'Torino FC', 'AC Milan', 'US Palermo', 'Sassuolo Calcio', 'Hellas Verona', 'Chievo Verona', 'Empoli FC', 'Udinese Calcio', 'Atalanta', 'Cagliari Calcio', 'AC Cesena', 'Parma FC']",Juventus,87,17,2014-2015
"['Juventus', 'SSC Napoli', 'AS Roma', 'Inter', 'ACF Fiorentina', 'Sassuolo Calcio', 'AC Milan', 'Lazio Roma', 'Chievo Verona', 'Empoli FC', 'Genoa CFC', 'Torino FC', 'Atalanta', 'Bologna FC', 'Sampdoria', 'US Palermo', 'Udinese Calcio', 'Carpi FC', 'Frosinone Calcio', 'Hellas Verona']",Juventus,91,9,2015-2016
"['Juventus', 'AS Roma', 'SSC Napoli', 'Atalanta', 'Lazio Roma', 'AC Milan', 'Inter', 'ACF Fiorentina', 'Torino FC', 'Sampdoria', 'Cagliari Calcio', 'Sassuolo Calcio', 'Udinese Calcio', 'Chievo Verona', 'Bologna FC', 'Genoa CFC', 'FC Crotone', 'Empoli FC', 'US Palermo', 'Delfino Pescara']",Juventus,91,4,2016-2017
"['Juventus', 'SSC Napoli', 'AS Roma', 'Inter', 'Lazio Roma', 'AC Milan', 'Atalanta', 'ACF Fiorentina', 'Torino FC', 'Sampdoria', 'Sassuolo Calcio', 'Genoa CFC', 'Chievo Verona', 'Udinese Calcio', 'Bologna FC', 'Cagliari Calcio', 'SPAL 2013 Ferrara', 'FC Crotone', 'Hellas Verona', 'Benevento Calcio']",Juventus,95,4,2017-2018
"['Juventus', 'SSC Napoli', 'Atalanta', 'Inter', 'AC Milan', 'AS Roma', 'Torino FC', 'Lazio Roma', 'Sampdoria', 'Bologna FC', 'Sassuolo Calcio', 'Udinese Calcio', 'SPAL 2013 Ferrara', 'Parma Calcio 1913', 'Cagliari Calcio', 'ACF Fiorentina', 'Genoa CFC', 'Empoli FC', 'Frosinone Calcio', 'Chievo Verona']",Juventus,90,11,2018-2019
"['Juventus', 'Inter', 'Atalanta', 'Lazio Roma', 'AS Roma', 'AC Milan', 'SSC Napoli', 'Sassuolo Calcio', 'Hellas Verona', 'ACF Fiorentina', 'Parma Calcio 1913', 'Bologna FC', 'Udinese Calcio', 'Cagliari Calcio', 'Sampdoria', 'Torino FC', 'Genoa CFC', 'US Lecce', 'Brescia Calcio', 'SPAL 2013 Ferrara']",Juventus,83,1,2019-2020
"['Inter', 'AC Milan', 'Atalanta', 'Juventus', 'SSC Napoli', 'Lazio Roma', 'AS Roma', 'Sassuolo Calcio', 'Sampdoria', 'Hellas Verona', 'Genoa CFC', 'Bologna FC', 'ACF Fiorentina', 'Udinese Calcio', 'Spezia Calcio', 'Cagliari Calcio', 'Torino FC', 'Benevento Calcio', 'FC Crotone', 'Parma Calcio 1913']",Inter,91,12,2020-2021
"['AC Milan', 'Inter', 'SSC Napoli', 'Juventus', 'Lazio Roma', 'AS Roma', 'ACF Fiorentina', 'Atalanta', 'Hellas Verona', 'Torino FC', 'Sassuolo Calcio', 'Udinese Calcio', 'Bologna FC', 'Empoli FC', 'Sampdoria', 'Spezia Calcio', 'US Salernitana 1919', 'Cagliari Calcio', 'Genoa CFC', 'Venezia FC']",AC Milan,86,2,2021-2022
"['SSC Napoli', 'Lazio Roma', 'Inter', 'AC Milan', 'Atalanta', 'AS Roma', 'Juventus', 'ACF Fiorentina', 'Bologna FC', 'Torino FC', 'AC Monza', 'Udinese Calcio', 'Sassuolo Calcio', 'Empoli FC', 'US Salernitana 1919', 'US Lecce', 'Hellas Verona', 'Spezia Calcio', 'US Cremonese', 'Sampdoria']",SSC Napoli,90,16,2022-2023
