teams_ordered,champion,champ_points,champ_margin,year
"['Paris Saint-Germain', 'Olympique Marseille', 'AJ Auxerre', 'Girondins Bordeaux', 'FC Nantes', 'AS Cannes', 'Montpellier HSC', 'Olympique Lyon', 'AS Monaco', 'RC Lens', 'AS Saint-Étienne', 'FC Metz', 'RC Strasbourg', 'FC Sochaux', 'Lille OSC', 'SM Caen', 'Havre AC', 'FC Martigues', 'Toulouse FC', 'Angers SCO']",Paris Saint-Germain,59,8,1993-1994
"['FC Nantes', 'Olympique Lyon', 'Paris Saint-Germain', 'AJ Auxerre', 'RC Lens', 'AS Monaco', 'Girondins Bordeaux', 'FC Metz', 'AS Cannes', 'RC Strasbourg', 'FC Martigues', 'Havre AC', 'Stade Rennais', 'Lille OSC', 'SC Bastia', 'OGC Nice', 'Montpellier HSC', 'AS Saint-Étienne', 'SM Caen', 'FC Sochaux']",FC Nantes,79,10,1994-1995
"['AJ Auxerre', 'Paris Saint-Germain', 'AS Monaco', 'FC Metz', 'RC Lens', 'Montpellier HSC', 'FC Nantes', 'Stade Rennais', 'RC Strasbourg', 'EA Guingamp', 'Olympique Lyon', 'OGC Nice', 'Havre AC', 'AS Cannes', 'SC Bastia', 'Girondins Bordeaux', 'Lille OSC', 'FC Gueugnon', 'AS Saint-Étienne', 'FC Martigues']",AJ Auxerre,72,4,1995-1996
"['AS Monaco', 'Paris Saint-Germain', 'FC Nantes', 'Girondins Bordeaux', 'FC Metz', 'AJ Auxerre', 'SC Bastia', 'Olympique Lyon', 'RC Strasbourg', 'Montpellier HSC', 'Olympique Marseille', 'EA Guingamp', 'RC Lens', 'Havre AC', 'AS Cannes', 'Stade Rennais', 'SM Caen', 'AS Nancy Lorraine', 'Lille OSC', 'OGC Nice']",AS Monaco,79,12,1996-1997
"['RC Lens', 'FC Metz', 'AS Monaco', 'Olympique Marseille', 'Girondins Bordeaux', 'Olympique Lyon', 'AJ Auxerre', 'Paris Saint-Germain', 'SC Bastia', 'Havre AC', 'FC Nantes', 'Montpellier HSC', 'RC Strasbourg', 'Stade Rennais', 'Toulouse FC', 'EA Guingamp', 'LB Châteauroux', 'AS Cannes']",RC Lens,68,0,1997-1998
"['Girondins Bordeaux', 'Olympique Marseille', 'Olympique Lyon', 'AS Monaco', 'Stade Rennais', 'RC Lens', 'FC Nantes', 'Montpellier HSC', 'Paris Saint-Germain', 'FC Metz', 'AS Nancy Lorraine', 'RC Strasbourg', 'SC Bastia', 'AJ Auxerre', 'Havre AC', 'FC Lorient', 'FC Sochaux', 'Toulouse FC']",Girondins Bordeaux,72,1,1998-1999
"['AS Monaco', 'Paris Saint-Germain', 'Olympique Lyon', 'Girondins Bordeaux', 'RC Lens', 'AS Saint-Étienne', 'CS Sedan', 'AJ Auxerre', 'RC Strasbourg', 'SC Bastia', 'FC Metz', 'FC Nantes', 'Stade Rennais', 'ATAC Troyes', 'Olympique Marseille', 'AS Nancy Lorraine', 'Havre AC', 'Montpellier HSC']",AS Monaco,65,7,1999-2000
"['FC Nantes', 'Olympique Lyon', 'Lille OSC', 'Girondins Bordeaux', 'CS Sedan', 'Stade Rennais', 'ESTAC Troyes', 'SC Bastia', 'Paris Saint-Germain', 'EA Guingamp', 'AS Monaco', 'FC Metz', 'AJ Auxerre', 'RC Lens', 'Olympique Marseille', 'Toulouse FC', 'AS Saint-Étienne', 'RC Strasbourg']",FC Nantes,68,4,2000-2001
"['Olympique Lyon', 'RC Lens', 'AJ Auxerre', 'Paris Saint-Germain', 'Lille OSC', 'Girondins Bordeaux', 'ESTAC Troyes', 'FC Sochaux', 'Olympique Marseille', 'FC Nantes', 'SC Bastia', 'Stade Rennais', 'Montpellier HSC', 'CS Sedan', 'AS Monaco', 'EA Guingamp', 'FC Metz', 'FC Lorient']",Olympique Lyon,66,2,2001-2002
"['Olympique Lyon', 'AS Monaco', 'Olympique Marseille', 'Girondins Bordeaux', 'FC Sochaux', 'AJ Auxerre', 'EA Guingamp', 'RC Lens', 'FC Nantes', 'OGC Nice', 'Paris Saint-Germain', 'SC Bastia', 'RC Strasbourg', 'Lille OSC', 'Stade Rennais', 'Montpellier HSC', 'AC Ajaccio', 'Havre AC', 'CS Sedan', 'ESTAC Troyes']",Olympique Lyon,68,1,2002-2003
"['Olympique Lyon', 'Paris Saint-Germain', 'AS Monaco', 'AJ Auxerre', 'FC Sochaux', 'FC Nantes', 'Olympique Marseille', 'RC Lens', 'Stade Rennais', 'Lille OSC', 'OGC Nice', 'Girondins Bordeaux', 'RC Strasbourg', 'FC Metz', 'AC Ajaccio', 'Toulouse FC', 'SC Bastia', 'EA Guingamp', 'Le Mans UC 72', 'Montpellier HSC']",Olympique Lyon,79,3,2003-2004
"['Olympique Lyon', 'Lille OSC', 'AS Monaco', 'Stade Rennais', 'Olympique Marseille', 'AS Saint-Étienne', 'RC Lens', 'AJ Auxerre', 'Paris Saint-Germain', 'FC Sochaux', 'RC Strasbourg', 'OGC Nice', 'Toulouse FC', 'AC Ajaccio', 'Girondins Bordeaux', 'FC Metz', 'FC Nantes', 'SM Caen', 'SC Bastia', 'FC Istres']",Olympique Lyon,79,12,2004-2005
"['Olympique Lyon', 'Girondins Bordeaux', 'Lille OSC', 'RC Lens', 'Olympique Marseille', 'AJ Auxerre', 'Stade Rennais', 'OGC Nice', 'Paris Saint-Germain', 'AS Monaco', 'Le Mans UC 72', 'AS Nancy Lorraine', 'AS Saint-Étienne', 'FC Nantes', 'FC Sochaux', 'Toulouse FC', 'ESTAC Troyes', 'AC Ajaccio', 'RC Strasbourg', 'FC Metz']",Olympique Lyon,84,15,2005-2006
"['Olympique Lyon', 'Olympique Marseille', 'Toulouse FC', 'Stade Rennais', 'RC Lens', 'Girondins Bordeaux', 'FC Sochaux', 'AJ Auxerre', 'AS Monaco', 'Lille OSC', 'AS Saint-Étienne', 'Le Mans UC 72', 'AS Nancy Lorraine', 'FC Lorient', 'Paris Saint-Germain', 'OGC Nice', 'Valenciennes FC', 'ESTAC Troyes', 'CS Sedan', 'FC Nantes']",Olympique Lyon,81,17,2006-2007
"['Olympique Lyon', 'Girondins Bordeaux', 'Olympique Marseille', 'AS Nancy Lorraine', 'AS Saint-Étienne', 'Stade Rennais', 'Lille OSC', 'OGC Nice', 'Le Mans UC 72', 'FC Lorient', 'SM Caen', 'AS Monaco', 'Valenciennes FC', 'FC Sochaux', 'AJ Auxerre', 'Paris Saint-Germain', 'Toulouse FC', 'RC Lens', 'RC Strasbourg', 'FC Metz']",Olympique Lyon,79,4,2007-2008
"['Girondins Bordeaux', 'Olympique Marseille', 'Olympique Lyon', 'Toulouse FC', 'Lille OSC', 'Paris Saint-Germain', 'Stade Rennais', 'AJ Auxerre', 'OGC Nice', 'FC Lorient', 'AS Monaco', 'Valenciennes FC', 'Grenoble Foot 38', 'FC Sochaux', 'AS Nancy Lorraine', 'Le Mans UC 72', 'AS Saint-Étienne', 'SM Caen', 'FC Nantes', 'Havre AC']",Girondins Bordeaux,80,3,2008-2009
"['Olympique Marseille', 'Olympique Lyon', 'AJ Auxerre', 'Lille OSC', 'Montpellier HSC', 'Girondins Bordeaux', 'FC Lorient', 'AS Monaco', 'Stade Rennais', 'Valenciennes FC', 'RC Lens', 'AS Nancy Lorraine', 'Paris Saint-Germain', 'Toulouse FC', 'OGC Nice', 'FC Sochaux', 'AS Saint-Étienne', 'Le Mans UC 72', 'US Boulogne', 'Grenoble Foot 38']",Olympique Marseille,78,6,2009-2010
"['Lille OSC', 'Olympique Marseille', 'Olympique Lyon', 'Paris Saint-Germain', 'FC Sochaux', 'Stade Rennais', 'Girondins Bordeaux', 'Toulouse FC', 'AJ Auxerre', 'AS Saint-Étienne', 'FC Lorient', 'Valenciennes FC', 'AS Nancy Lorraine', 'Montpellier HSC', 'SM Caen', 'Stade Brestois', 'OGC Nice', 'AS Monaco', 'RC Lens', 'AC Arles-Avignon']",Lille OSC,76,8,2010-2011
"['Montpellier HSC', 'Paris Saint-Germain', 'Lille OSC', 'Olympique Lyon', 'Girondins Bordeaux', 'Stade Rennais', 'AS Saint-Étienne', 'Toulouse FC', 'Évian Thonon Gaillard', 'Olympique Marseille', 'AS Nancy Lorraine', 'Valenciennes FC', 'OGC Nice', 'FC Sochaux', 'Stade Brestois', 'AC Ajaccio', 'FC Lorient', 'SM Caen', 'Dijon FCO', 'AJ Auxerre']",Montpellier HSC,82,3,2011-2012
"['Paris Saint-Germain', 'Olympique Marseille', 'Olympique Lyon', 'OGC Nice', 'AS Saint-Étienne', 'Lille OSC', 'Girondins Bordeaux', 'FC Lorient', 'Montpellier HSC', 'Toulouse FC', 'Valenciennes FC', 'SC Bastia', 'Stade Rennais', 'Stade Reims', 'FC Sochaux', 'Évian Thonon Gaillard', 'AC Ajaccio', 'AS Nancy Lorraine', 'ESTAC Troyes', 'Stade Brestois']",Paris Saint-Germain,83,12,2012-2013
"['Paris Saint-Germain', 'AS Monaco', 'Lille OSC', 'AS Saint-Étienne', 'Olympique Lyon', 'Olympique Marseille', 'Girondins Bordeaux', 'FC Lorient', 'Toulouse FC', 'SC Bastia', 'Stade Reims', 'Stade Rennais', 'FC Nantes', 'Évian Thonon Gaillard', 'Montpellier HSC', 'EA Guingamp', 'OGC Nice', 'FC Sochaux', 'Valenciennes FC', 'AC Ajaccio']",Paris Saint-Germain,89,9,2013-2014
"['Paris Saint-Germain', 'Olympique Lyon', 'AS Monaco', 'Olympique Marseille', 'AS Saint-Étienne', 'Girondins Bordeaux', 'Montpellier HSC', 'Lille OSC', 'Stade Rennais', 'EA Guingamp', 'OGC Nice', 'SC Bastia', 'SM Caen', 'FC Nantes', 'Stade Reims', 'FC Lorient', 'Toulouse FC', 'Évian Thonon Gaillard', 'FC Metz', 'RC Lens']",Paris Saint-Germain,83,8,2014-2015
"['Paris Saint-Germain', 'Olympique Lyon', 'AS Monaco', 'OGC Nice', 'Lille OSC', 'AS Saint-Étienne', 'SM Caen', 'Stade Rennais', 'Angers SCO', 'SC Bastia', 'Girondins Bordeaux', 'Montpellier HSC', 'Olympique Marseille', 'FC Nantes', 'FC Lorient', 'EA Guingamp', 'Toulouse FC', 'Stade Reims', 'Gazélec FC Ajaccio', 'ESTAC Troyes']",Paris Saint-Germain,96,31,2015-2016
"['AS Monaco', 'Paris Saint-Germain', 'OGC Nice', 'Olympique Lyon', 'Olympique Marseille', 'Girondins Bordeaux', 'FC Nantes', 'AS Saint-Étienne', 'Stade Rennais', 'EA Guingamp', 'Lille OSC', 'Angers SCO', 'Toulouse FC', 'FC Metz', 'Montpellier HSC', 'Dijon FCO', 'SM Caen', 'FC Lorient', 'AS Nancy Lorraine', 'SC Bastia']",AS Monaco,95,8,2016-2017
"['Paris Saint-Germain', 'AS Monaco', 'Olympique Lyon', 'Olympique Marseille', 'Stade Rennais', 'Girondins Bordeaux', 'AS Saint-Étienne', 'OGC Nice', 'FC Nantes', 'Montpellier HSC', 'Dijon FCO', 'EA Guingamp', 'Amiens SC', 'Angers SCO', 'RC Strasbourg', 'SM Caen', 'Lille OSC', 'Toulouse FC', 'ESTAC Troyes', 'FC Metz']",Paris Saint-Germain,93,13,2017-2018
"['Paris Saint-Germain', 'Lille OSC', 'Olympique Lyon', 'AS Saint-Étienne', 'Olympique Marseille', 'Montpellier HSC', 'OGC Nice', 'Stade Reims', 'Nîmes Olympique', 'Stade Rennais', 'RC Strasbourg', 'FC Nantes', 'Angers SCO', 'Girondins Bordeaux', 'Amiens SC', 'Toulouse FC', 'AS Monaco', 'Dijon FCO', 'SM Caen', 'EA Guingamp']",Paris Saint-Germain,91,16,2018-2019
"['Paris Saint-Germain', 'Olympique Marseille', 'Stade Rennais', 'Lille OSC', 'OGC Nice', 'Stade Reims', 'Olympique Lyon', 'Montpellier HSC', 'AS Monaco', 'RC Strasbourg', 'Angers SCO', 'Girondins Bordeaux', 'FC Nantes', 'Stade Brestois', 'FC Metz', 'Dijon FCO', 'AS Saint-Étienne', 'Nîmes Olympique', 'Amiens SC', 'Toulouse FC']",Paris Saint-Germain,68,12,2019-2020
"['Lille OSC', 'Paris Saint-Germain', 'AS Monaco', 'Olympique Lyon', 'Olympique Marseille', 'Stade Rennais', 'RC Lens', 'Montpellier HSC', 'OGC Nice', 'FC Metz', 'AS Saint-Étienne', 'Girondins Bordeaux', 'Angers SCO', 'Stade Reims', 'RC Strasbourg', 'FC Lorient', 'Stade Brestois', 'FC Nantes', 'Nîmes Olympique', 'Dijon FCO']",Lille OSC,83,1,2020-2021
"['Paris Saint-Germain', 'Olympique Marseille', 'AS Monaco', 'Stade Rennais', 'OGC Nice', 'RC Strasbourg', 'RC Lens', 'Olympique Lyon', 'FC Nantes', 'Lille OSC', 'Stade Brestois', 'Stade Reims', 'Montpellier HSC', 'Angers SCO', 'ESTAC Troyes', 'FC Lorient', 'Clermont Foot 63', 'AS Saint-Étienne', 'FC Metz', 'Girondins Bordeaux']",Paris Saint-Germain,86,15,2021-2022
"['Paris Saint-Germain', 'RC Lens', 'Olympique Marseille', 'Stade Rennais', 'Lille OSC', 'AS Monaco', 'Olympique Lyon', 'Clermont Foot 63', 'OGC Nice', 'FC Lorient', 'Stade Reims', 'Montpellier HSC', 'Toulouse FC', 'Stade Brestois', 'RC Strasbourg', 'FC Nantes', 'AJ Auxerre', 'AC Ajaccio', 'ESTAC Troyes', 'Angers SCO']",Paris Saint-Germain,85,1,2022-2023
