teams_ordered,champion,champ_points,champ_margin,year
"['Real Madrid', 'Valencia CF', 'FC Barcelona', 'Atlético Madrid', 'Real Sociedad', 'Sevilla FC', 'CD Logroñés', 'Real Zaragoza', 'CA Osasuna', 'RCD Mallorca', 'Real Oviedo', 'Athletic Bilbao', 'Sporting Gijón', 'CD Castellón', 'Real Valladolid', 'Cádiz CF', 'CD Málaga', 'CD Tenerife', 'RC Celta', 'Rayo Vallecano']",Real Madrid,62,9,1989-1990
"['FC Barcelona', 'Atlético Madrid', 'Real Madrid', 'CA Osasuna', 'Sporting Gijón', 'Real Oviedo', 'Valencia CF', 'Sevilla FC', 'Real Burgos', 'Real Valladolid', 'CD Logroñés', 'Real Sociedad', 'Athletic Bilbao', 'CD Tenerife', 'Espanyol Barcelona', 'RCD Mallorca', 'Real Zaragoza', 'Cádiz CF', 'CD Castellón', 'Real Betis']",FC Barcelona,57,10,1990-1991
"['FC Barcelona', 'Real Madrid', 'Atlético Madrid', 'Valencia CF', 'Real Sociedad', 'Real Zaragoza', 'Albacete', 'Sporting Gijón', 'Real Burgos', 'Real Oviedo', 'CD Logroñés', 'Sevilla FC', 'CD Tenerife', 'CA Osasuna', 'Athletic Bilbao', 'Espanyol Barcelona', 'Deportivo La Coruña', 'Cádiz CF', 'RCD Mallorca', 'Real Valladolid']",FC Barcelona,55,1,1991-1992
"['FC Barcelona', 'Real Madrid', 'Deportivo La Coruña', 'Valencia CF', 'CD Tenerife', 'Atlético Madrid', 'Sevilla FC', 'Athletic Bilbao', 'Real Zaragoza', 'CA Osasuna', 'RC Celta', 'Real Sociedad', 'Sporting Gijón', 'Rayo Vallecano', 'CD Logroñés', 'Real Oviedo', 'Albacete', 'Espanyol Barcelona', 'Cádiz CF', 'Real Burgos']",FC Barcelona,58,1,1992-1993
"['FC Barcelona', 'Deportivo La Coruña', 'Real Zaragoza', 'Real Madrid', 'Athletic Bilbao', 'Sevilla FC', 'Valencia CF', 'Racing Santander', 'Real Oviedo', 'CD Tenerife', 'Real Sociedad', 'Atlético Madrid', 'Albacete', 'Sporting Gijón', 'RC Celta', 'CD Logroñés', 'Rayo Vallecano', 'Real Valladolid', 'UE Lleida', 'CA Osasuna']",FC Barcelona,56,0,1993-1994
"['Real Madrid', 'Deportivo La Coruña', 'Real Betis', 'FC Barcelona', 'Espanyol Barcelona', 'Sevilla FC', 'Real Zaragoza', 'Athletic Bilbao', 'Real Oviedo', 'Real Sociedad', 'Valencia CF', 'Racing Santander', 'RC Celta', 'Atlético Madrid', 'CD Tenerife', 'SD Compostela', 'Albacete', 'Sporting Gijón', 'Real Valladolid', 'CD Logroñés']",Real Madrid,55,4,1994-1995
"['Atlético Madrid', 'Valencia CF', 'FC Barcelona', 'Espanyol Barcelona', 'CD Tenerife', 'Real Madrid', 'Real Sociedad', 'Real Betis', 'Deportivo La Coruña', 'SD Compostela', 'RC Celta', 'Real Zaragoza', 'Athletic Bilbao', 'Sevilla FC', 'Real Oviedo', 'Real Valladolid', 'Racing Santander', 'Sporting Gijón', 'Rayo Vallecano', 'CP Mérida', 'Albacete', 'UD Salamanca']",Atlético Madrid,87,4,1995-1996
"['Real Madrid', 'FC Barcelona', 'Real Betis', 'Deportivo La Coruña', 'Atlético Madrid', 'Athletic Bilbao', 'Real Valladolid', 'Real Sociedad', 'CD Tenerife', 'Valencia CF', 'SD Compostela', 'Espanyol Barcelona', 'Racing Santander', 'Real Zaragoza', 'Sporting Gijón', 'RC Celta', 'Real Oviedo', 'Rayo Vallecano', 'CF Extremadura', 'Sevilla FC', 'Hércules CF', 'CD Logroñés']",Real Madrid,92,2,1996-1997
"['FC Barcelona', 'Athletic Bilbao', 'Real Sociedad', 'Real Madrid', 'Atlético Madrid', 'RCD Mallorca', 'RC Celta', 'Real Betis', 'Valencia CF', 'Espanyol Barcelona', 'Real Valladolid', 'Deportivo La Coruña', 'Real Zaragoza', 'UD Salamanca', 'Racing Santander', 'CD Tenerife', 'SD Compostela', 'Real Oviedo', 'CP Mérida', 'Sporting Gijón']",FC Barcelona,74,9,1997-1998
"['FC Barcelona', 'Real Madrid', 'RCD Mallorca', 'Valencia CF', 'RC Celta', 'Deportivo La Coruña', 'Espanyol Barcelona', 'Athletic Bilbao', 'Real Zaragoza', 'Real Sociedad', 'Real Betis', 'Real Valladolid', 'Atlético Madrid', 'Real Oviedo', 'Racing Santander', 'CD Alavés', 'CF Extremadura', 'Villarreal CF', 'CD Tenerife', 'UD Salamanca']",FC Barcelona,79,11,1998-1999
"['Deportivo La Coruña', 'FC Barcelona', 'Valencia CF', 'Real Zaragoza', 'Real Madrid', 'CD Alavés', 'RC Celta', 'Real Valladolid', 'Rayo Vallecano', 'RCD Mallorca', 'Athletic Bilbao', 'Málaga CF', 'Espanyol Barcelona', 'Real Sociedad', 'Racing Santander', 'CD Numancia', 'Real Oviedo', 'Real Betis', 'Atlético Madrid', 'Sevilla FC']",Deportivo La Coruña,69,5,1999-2000
"['Real Madrid', 'Deportivo La Coruña', 'RCD Mallorca', 'FC Barcelona', 'Valencia CF', 'RC Celta', 'Villarreal CF', 'Málaga CF', 'Espanyol Barcelona', 'CD Alavés', 'UD Las Palmas', 'Rayo Vallecano', 'Real Sociedad', 'Athletic Bilbao', 'Real Zaragoza', 'Real Valladolid', 'CA Osasuna', 'Real Oviedo', 'Racing Santander', 'CD Numancia']",Real Madrid,80,7,2000-2001
"['Valencia CF', 'Deportivo La Coruña', 'Real Madrid', 'FC Barcelona', 'RC Celta', 'Real Betis', 'CD Alavés', 'Sevilla FC', 'Málaga CF', 'Athletic Bilbao', 'Rayo Vallecano', 'Real Valladolid', 'Real Sociedad', 'Espanyol Barcelona', 'Villarreal CF', 'RCD Mallorca', 'CA Osasuna', 'UD Las Palmas', 'CD Tenerife', 'Real Zaragoza']",Valencia CF,75,7,2001-2002
"['Real Madrid', 'Real Sociedad', 'Deportivo La Coruña', 'RC Celta', 'Valencia CF', 'FC Barcelona', 'Athletic Bilbao', 'Real Betis', 'RCD Mallorca', 'Sevilla FC', 'Atlético Madrid', 'CA Osasuna', 'Real Valladolid', 'Málaga CF', 'Villarreal CF', 'Racing Santander', 'Espanyol Barcelona', 'Recreativo Huelva', 'CD Alavés', 'Rayo Vallecano']",Real Madrid,78,2,2002-2003
