teams_ordered,champion,champ_points,champ_margin,year
"['PSV Eindhoven', 'AFC Ajax', 'FC Twente', 'Feyenoord', 'Roda JC Kerkrade', 'FC Groningen', 'BVV Den Bosch', 'Fortuna Sittard', 'FC Volendam', 'SBV Haarlem', 'RKC Waalwijk', 'Sparta Rotterdam', 'FC Utrecht', 'MVV', 'Willem II', ""PEC Zwolle '82"", 'VVV', 'BV Veendam']",PSV Eindhoven,53,3,1988-1989
"['AFC Ajax', 'PSV Eindhoven', 'FC Twente', 'Vitesse', 'Roda JC Kerkrade', 'FC Volendam', 'Fortuna Sittard', 'RKC Waalwijk', 'FC Groningen', 'FC Den Haag', 'Feyenoord', 'Sparta Rotterdam', 'Willem II', 'FC Utrecht', 'MVV', 'NEC Nijmegen', 'BVV Den Bosch', 'SBV Haarlem']",AFC Ajax,49,1,1989-1990
"['PSV Eindhoven', 'AFC Ajax', 'FC Groningen', 'FC Utrecht', 'Vitesse', 'FC Twente', 'RKC Waalwijk', 'Feyenoord', 'FC Volendam', 'Roda JC Kerkrade', 'Willem II', 'Fortuna Sittard', 'Sparta Rotterdam', 'FC Den Haag', 'MVV', 'SVV Schiedam', 'sc Heerenveen', 'NEC Nijmegen']",PSV Eindhoven,53,0,1990-1991
"['PSV Eindhoven', 'AFC Ajax', 'Feyenoord', 'Vitesse', 'FC Groningen', 'FC Twente', 'MVV', 'Sparta Rotterdam', 'Roda JC Kerkrade', 'RKC Waalwijk', 'FC Utrecht', 'Willem II', 'FC Volendam', 'Fortuna Sittard', ""SVV/Dordrecht '90"", 'FC Den Haag', 'De Graafschap', 'VVV']",PSV Eindhoven,58,3,1991-1992
"['Feyenoord', 'PSV Eindhoven', 'AFC Ajax', 'Vitesse', 'FC Twente', 'FC Volendam', 'MVV', 'FC Utrecht', 'RKC Waalwijk', 'Willem II', 'Roda JC Kerkrade', 'FC Groningen', 'Sparta Rotterdam', 'SC Cambuur', 'Go Ahead Eagles', 'Fortuna Sittard', 'FC Den Bosch', ""Dordrecht '90""]",Feyenoord,53,2,1992-1993
"['AFC Ajax', 'Feyenoord', 'PSV Eindhoven', 'Vitesse', 'FC Twente', 'Roda JC Kerkrade', 'NAC Breda', 'Willem II', 'Sparta Rotterdam', 'MVV', 'FC Volendam', 'Go Ahead Eagles', 'sc Heerenveen', 'FC Groningen', 'FC Utrecht', 'RKC Waalwijk', 'VVV', 'SC Cambuur']",AFC Ajax,54,3,1993-1994
"['AFC Ajax', 'Roda JC Kerkrade', 'PSV Eindhoven', 'Feyenoord', 'FC Twente', 'Vitesse', 'Willem II', 'RKC Waalwijk', 'sc Heerenveen', 'NAC Breda', 'FC Volendam', 'FC Utrecht', 'FC Groningen', 'Sparta Rotterdam', 'NEC Nijmegen', 'MVV', 'Go Ahead Eagles', ""Dordrecht '90""]",AFC Ajax,61,7,1994-1995
"['AFC Ajax', 'PSV Eindhoven', 'Feyenoord', 'Roda JC Kerkrade', 'Vitesse', 'Sparta Rotterdam', 'sc Heerenveen', 'NAC Breda', 'FC Groningen', 'FC Twente', 'RKC Waalwijk', 'Willem II', 'Fortuna Sittard', 'De Graafschap', 'FC Utrecht', 'FC Volendam', 'NEC Nijmegen', 'Go Ahead Eagles']",AFC Ajax,83,6,1995-1996
"['PSV Eindhoven', 'Feyenoord', 'FC Twente', 'AFC Ajax', 'Vitesse', 'Roda JC Kerkrade', 'sc Heerenveen', 'De Graafschap', 'NAC Breda', 'FC Groningen', 'Fortuna Sittard', 'FC Utrecht', 'Sparta Rotterdam', 'FC Volendam', 'Willem II', 'RKC Waalwijk', 'NEC Nijmegen', 'AZ Alkmaar']",PSV Eindhoven,77,4,1996-1997
"['AFC Ajax', 'PSV Eindhoven', 'Vitesse', 'Feyenoord', 'Willem II', 'sc Heerenveen', 'Fortuna Sittard', 'NEC Nijmegen', 'FC Twente', 'FC Utrecht', 'De Graafschap', 'NAC Breda', 'Sparta Rotterdam', 'Roda JC Kerkrade', 'MVV', 'RKC Waalwijk', 'FC Groningen', 'FC Volendam']",AFC Ajax,89,17,1997-1998
"['Feyenoord', 'Willem II', 'PSV Eindhoven', 'Vitesse', 'Roda JC Kerkrade', 'AFC Ajax', 'sc Heerenveen', 'FC Twente', 'AZ Alkmaar', 'Fortuna Sittard', 'NEC Nijmegen', 'FC Utrecht', 'De Graafschap', 'MVV', 'SC Cambuur', 'RKC Waalwijk', 'Sparta Rotterdam', 'NAC Breda']",Feyenoord,80,15,1998-1999
"['PSV Eindhoven', 'sc Heerenveen', 'Feyenoord', 'Vitesse', 'AFC Ajax', 'FC Twente', 'AZ Alkmaar', 'Roda JC Kerkrade', 'Willem II', 'FC Utrecht', 'RKC Waalwijk', 'Fortuna Sittard', 'Sparta Rotterdam', 'De Graafschap', 'NEC Nijmegen', 'MVV', 'SC Cambuur', 'FC Den Bosch']",PSV Eindhoven,84,16,1999-2000
"['PSV Eindhoven', 'Feyenoord', 'AFC Ajax', 'Roda JC Kerkrade', 'FC Utrecht', 'Vitesse', 'RKC Waalwijk', 'Willem II', 'NAC Breda', 'sc Heerenveen', 'FC Twente', 'NEC Nijmegen', 'AZ Alkmaar', 'FC Groningen', 'De Graafschap', 'Fortuna Sittard', 'Sparta Rotterdam', 'RBC Roosendaal']",PSV Eindhoven,83,17,2000-2001
"['AFC Ajax', 'PSV Eindhoven', 'Feyenoord', 'Vitesse', 'sc Heerenveen', 'NAC Breda', 'FC Utrecht', 'RKC Waalwijk', 'NEC Nijmegen', 'Willem II', 'FC Twente', 'AZ Alkmaar', 'Roda JC Kerkrade', 'De Graafschap', 'FC Groningen', 'FC Den Bosch', 'Sparta Rotterdam', 'Fortuna Sittard']",AFC Ajax,70,3,2001-2002
"['PSV Eindhoven', 'AFC Ajax', 'Feyenoord', 'NAC Breda', 'NEC Nijmegen', 'Roda JC Kerkrade', 'sc Heerenveen', 'FC Utrecht', 'RKC Waalwijk', 'AZ Alkmaar', 'Willem II', 'FC Twente', 'RBC Roosendaal', 'Vitesse', 'FC Groningen', 'FC Zwolle', 'SBV Excelsior', 'De Graafschap']",PSV Eindhoven,84,1,2002-2003
"['AFC Ajax', 'PSV Eindhoven', 'Feyenoord', 'sc Heerenveen', 'AZ Alkmaar', 'Roda JC Kerkrade', 'Willem II', 'FC Twente', 'NAC Breda', 'FC Utrecht', 'RKC Waalwijk', 'RBC Roosendaal', 'FC Groningen', 'NEC Nijmegen', 'ADO Den Haag', 'Vitesse', 'FC Volendam', 'FC Zwolle']",AFC Ajax,80,6,2003-2004
"['PSV Eindhoven', 'AFC Ajax', 'AZ Alkmaar', 'Feyenoord', 'sc Heerenveen', 'FC Twente', 'Vitesse', 'Roda JC Kerkrade', 'RKC Waalwijk', 'Willem II', 'FC Utrecht', 'FC Groningen', 'NEC Nijmegen', 'ADO Den Haag', 'NAC Breda', 'RBC Roosendaal', 'De Graafschap', 'FC Den Bosch']",PSV Eindhoven,87,10,2004-2005
